mkdir XX	创建一个空目录XX指目录名
pwd		显示当前目录的路径
git init	把当前目录变成可以管理的git仓库，生成隐藏.git文件
git add XX	把XX文件添加发哦暂存区
git commit -m "XX"	提交文件 -m 后面的是注释
git status 	查看仓库状态
git diff XX	查看XX文件修改了哪些内容
git log 	查看历史记录
git reset -hard HEAD^ 或者 git reset -hard HEAD~	回退到上一个版本
	（若想会退到100个版本，使用 git reset -hard HEAD~100）
cat XX		查看XX文件内容
git reflog	查看历史记录的版本号id
git checkout --XX	把XX文件再工作区的修改全部撤销
git rm XX	删除XX文件
git remote add origin https://github.com/dongdong5820/testgit	关联一个远程库
git push -u(第一次要用-u，以后不需要) origin master 把当前master分支推送到远程库
git clone https://github.com/dongdong5820/testgit	从远程库中克隆
git checkout -b dev	创建dev分支并切换到dev分支上
git branch	查看当前所有分支（本地，要查看线上：git branch -a）
git checkout master	切换回master分支
git merge dev		在当前分支上合并dev分支
git branch -d dev	删除dev分支
git branch dev		创建dev分支
git stash		把当前的工作隐藏起来，等以后恢复现场后继续工作
git stash list		查看所有被隐藏的文件列表
git stash apply		恢复被隐藏的文件，但是内容不删除
git stash drop		删除隐藏的文件
git stash pop		恢复文件的同时，也删除文件
git remote		查看远程库的信息
git remote -v 		查看远程库的详细信息
git push origin	master	把master分支推送到远程库对应的分支上
